time,I,R,D
10-Apr-2020 04:48:00,451434.300603013,35529.2369961433,18579.9904895557
10-Apr-2020 07:12:00,453980.748801536,35913.1658656162,18762.8096874751
10-Apr-2020 09:36:00,456519.796687301,36299.2511766026,18946.120801514
10-Apr-2020 12:00:00,459051.310951019,36687.4865964868,19129.9164232504
10-Apr-2020 14:24:00,461575.159603712,37077.8656801557,19314.1891388306
10-Apr-2020 16:48:00,464091.211999499,37470.3818711277,19498.9315298788
10-Apr-2020 19:12:00,466599.338857497,37865.0285027018,19684.136174404
10-Apr-2020 21:36:00,469099.412282882,38261.7987991237,19869.7956477051
11-Apr-2020 00:00:00,471591.305787094,38660.6858767701,20055.9025232721
11-Apr-2020 02:24:00,474074.894307225,39061.6827453495,20242.4493736843
11-Apr-2020 04:48:00,476550.054224591,39464.7823091193,20429.4287715046
11-Apr-2020 07:12:00,479016.663382493,39869.9773681181,20616.8332901695
11-Apr-2020 09:36:00,481474.601103203,40277.2606194128,20804.6555048747
11-Apr-2020 12:00:00,483923.748204162,40686.62465836,20992.8879934559
11-Apr-2020 14:24:00,486363.98701342,41098.0619798805,21181.5233372642
11-Apr-2020 16:48:00,488795.201384325,41511.5649797463,21370.5541220362
11-Apr-2020 19:12:00,491217.276709473,41927.1259558809,21559.9729387582
11-Apr-2020 21:36:00,493630.099933929,42344.7371096697,21749.7723845245
12-Apr-2020 00:00:00,496033.559567733,42764.3905472823,21939.9450633892
12-Apr-2020 02:24:00,498427.545697705,43186.0782810045,22130.4835872116
12-Apr-2020 04:48:00,500811.949998561,43609.7922305806,22321.3805764942
12-Apr-2020 07:12:00,503186.665743341,44035.5242245643,22512.6286612144
12-Apr-2020 09:36:00,505551.587813178,44463.2660016784,22704.2204816481
12-Apr-2020 12:00:00,507906.612706404,44893.0092121825,22896.1486891864
12-Apr-2020 14:24:00,510251.638547011,45324.7454192484,23088.4059471439
12-Apr-2020 16:48:00,512586.56509248,45758.4661003415,23280.9849315593
12-Apr-2020 19:12:00,514911.293740986,46194.16264861,23473.878331988
12-Apr-2020 21:36:00,517225.727537989,46631.8263742785,23667.078852286
13-Apr-2020 00:00:00,519529.771182219,47071.448506048,23860.5792113852
13-Apr-2020 02:24:00,521823.331031083,47513.0201925002,24054.3721440607
13-Apr-2020 04:48:00,524106.315105475,47956.5325035062,24248.4504016877
13-Apr-2020 07:12:00,526378.633094031,48401.9764316392,24442.8067529915
13-Apr-2020 09:36:00,528640.196356814,48849.3428935903,24637.4339847859
13-Apr-2020 12:00:00,530890.917928454,49298.6227315878,24832.3249027044
13-Apr-2020 14:24:00,533130.712520753,49749.8067148177,25027.4723319205
13-Apr-2020 16:48:00,535359.496524754,50202.8855408479,25222.8691178592
13-Apr-2020 19:12:00,537577.188012299,50657.8498370523,25418.5081268983
13-Apr-2020 21:36:00,539783.706737072,51114.6901620371,25614.3822470601
14-Apr-2020 00:00:00,541978.974135151,51573.3970070671,25810.4843886936
14-Apr-2020 02:24:00,544162.913325064,52033.960797493,26006.8074851455
14-Apr-2020 04:48:00,546335.449107372,52496.3718941776,26203.3444934228
14-Apr-2020 07:12:00,548496.507963781,52960.6205949221,26400.0883948433
14-Apr-2020 09:36:00,550646.018055797,53426.6971358916,26597.0321956777
14-Apr-2020 12:00:00,552783.909222925,53894.5916930385,26794.1689277798
14-Apr-2020 14:24:00,554910.112980434,54364.2943835249,26991.4916492074
14-Apr-2020 16:48:00,557024.562516692,54835.7952671427,27188.9934448322
14-Apr-2020 19:12:00,559127.192690075,55309.0843477311,27386.6674269392
14-Apr-2020 21:36:00,561217.940025463,55784.1515745913,27584.5067358157
15-Apr-2020 00:00:00,563296.742710342,56260.9868438987,27782.50454033
15-Apr-2020 02:24:00,565363.540590502,56739.5800001105,27980.6540384985
15-Apr-2020 04:48:00,567418.275165353,57219.9208373705,28178.9484580433
15-Apr-2020 07:12:00,569460.889582872,57701.9991009092,28377.3810569383
15-Apr-2020 09:36:00,571491.32863417,58185.8044884398,28575.945123945
15-Apr-2020 12:00:00,573509.538747715,58671.3266515489,28774.6339791374
15-Apr-2020 14:24:00,575515.467983193,59158.5551970831,28973.440974416
15-Apr-2020 16:48:00,577509.066025039,59647.4796885289,29172.3594940115
15-Apr-2020 19:12:00,579490.284175626,60138.0896473886,29371.3829549775
15-Apr-2020 21:36:00,581459.075348136,60630.3745545487,29570.5048076723
16-Apr-2020 00:00:00,583415.394059116,61124.3238516433,29769.7185362301
16-Apr-2020 02:24:00,585359.196420723,61619.9269424104,29969.0176590218
